,strategy
2023-01-18,1352870.003553532
2023-01-19,1349480.0306450883
2023-01-20,1368782.9257456139
2023-01-30,1377596.2051444626
2023-01-31,1359744.8775304726
2023-02-01,1362745.510183093
2023-02-02,1363006.9254210948
2023-02-03,1352945.5435046384
2023-02-06,1348886.7068741245
2023-02-07,1348886.7068741245
2023-02-08,1348886.7068741245
2023-02-09,1348886.7068741245
2023-02-10,1348886.7068741245
2023-02-13,1350413.053779356
2023-02-14,1352705.6013535988
2023-02-15,1348720.7371962855
2023-02-16,1353243.3843165427
2023-02-17,1338335.6618678214
2023-02-20,1334320.654882218
2023-02-21,1334320.654882218
2023-02-22,1334320.654882218
2023-02-23,1334320.654882218
2023-02-24,1334320.654882218
2023-02-27,1334320.654882218
2023-02-28,1334320.654882218
2023-03-01,1334320.654882218
2023-03-02,1334320.654882218
2023-03-03,1334320.654882218
2023-03-06,1343002.4634011274
2023-03-07,1380742.5723113555
2023-03-08,1353923.5516513234
2023-03-09,1359823.7430539443
2023-03-10,1343905.738605636
2023-03-13,1352852.0262084352
2023-03-14,1348007.9138570926
2023-03-15,1344309.4914032298
2023-03-16,1335202.2251248944
2023-03-17,1346340.0793537972
2023-03-20,1345330.324294282
2023-03-21,1345330.324294282
2023-03-22,1345330.324294282
2023-03-23,1345330.324294282
2023-03-24,1345330.324294282
2023-03-27,1324583.39438156
2023-03-28,1345828.9179610854
2023-03-29,1338309.121337013
2023-03-30,1345575.1396805772
2023-03-31,1342900.5797386135
2023-04-03,1410772.087369584
2023-04-04,1423533.5100749475
2023-04-06,1397395.3399272184
2023-04-07,1384124.0859549004
2023-04-10,1414502.2822439966
2023-04-11,1416149.2899824851
2023-04-12,1460352.677608734
2023-04-13,1514821.0956892266
2023-04-14,1487997.4918899017
2023-04-17,1514764.2098002832
2023-04-18,1507313.1700269403
2023-04-19,1508807.9679209804
2023-04-20,1510174.0707446958
2023-04-21,1517909.1258876272
2023-04-24,1507700.426884607
2023-04-25,1511292.1583995956
2023-04-26,1506849.9872357894
