code,jq_code,industry,sw_code,name,pe_ttm,pb,market_cap,turnover_ratio,roe,revenue_growth,gross_margin,net_margin,eps,cashflow_quality,risk_flag,risk_details,pe_inverse,gross_margin_change,roe_rank,revenue_growth_rank,cashflow_quality_rank,pe_inverse_rank,gross_margin_change_rank,fundamental_score,industry_trend_score,company_quality_score,research_score_raw,research_score,vc_heat,report_sentiment,intel_score_raw,intelligence_score,supply_chain_adj,composite_score,composite_rank
600800,600800.XSHG,oil,801963,渤海化学,-6.7163,3.8111,45.2898,1.3728,-16.99,-2.72,-18.98,-26.03,-0.1989,0.012448923215919824,False,,,-18.98,0.06666666666666667,0.6,0.2,,0.022222222222222223,0.2903703703703704,0.6,0.5,0.54,0.4000000000000002,0.3,0.68,0.4425,0.0,1.0,0.2777777777777778,41.0
601233,601233.XSHG,oil,801963,桐昆股份,21.7471,1.0013,379.2338,2.3982,1.2,-16.51,4.01,1.97,0.188,4.935275299866492,False,,0.0459831425799302,4.01,0.6666666666666666,0.26666666666666666,0.6222222222222222,0.6451612903225806,0.17777777777777778,0.5156511350059737,0.6,0.5,0.54,0.4000000000000002,0.3,0.68,0.4425,0.0,1.0,0.44673835125448036,25.0
601857,601857.XSHG,oil,801963,中国石油,11.4207,1.1591,18064.1705,0.0908,2.72,2.38,21.49,6.46,0.231,2.498213055459869,False,,0.08756030716155752,21.49,0.8444444444444444,0.6666666666666666,0.4666666666666667,0.9354838709677419,0.8222222222222222,0.7321385902031063,0.6,0.5,0.54,0.4000000000000002,0.3,0.68,0.4425,0.0,1.0,0.6091039426523298,6.0
603223,603223.XSHG,oil,801963,恒通股份,32.9819,1.9475,76.6323,2.6372,1.97,-26.83,28.34,19.94,0.1072,-4.356483565699466,False,,0.03031966017724873,28.34,0.7777777777777778,0.08888888888888889,0.08888888888888889,0.5483870967741935,0.8666666666666667,0.43163679808841104,0.6,0.5,0.54,0.4000000000000002,0.3,0.68,0.4425,0.0,1.0,0.38372759856630834,29.0
603353,603353.XSHG,oil,801963,和顺石油,527.0018,2.5380000000000003,41.8591,3.7335,0.47,-11.23,7.09,1.15,0.0451,26.792775967678256,False,,0.0018975267257151684,7.09,0.4888888888888889,0.4,0.9555555555555556,0.0967741935483871,0.3333333333333333,0.4958661887694147,0.6,0.5,0.54,0.4000000000000002,0.3,0.68,0.4425,0.0,1.0,0.43189964157706107,26.0
603798,603798.XSHG,oil,801963,康普顿,79.1314,3.553,41.0576,1.8135,0.09,-25.76,15.34,1.33,0.004,7.740463059708938,False,,0.01263720849119313,15.34,0.37777777777777777,0.13333333333333333,0.8,0.3548387096774194,0.5777777777777777,0.4073118279569892,0.6,0.5,0.54,0.4000000000000002,0.3,0.68,0.4425,0.0,1.0,0.36548387096774193,33.0
000027,000027.XSHE,power,801161,深圳能源,18.4451,1.0390000000000001,340.1534,0.8325,0.52,6.45,22.1,5.27,0.0546,9.457101571121823,False,,0.054214940553317686,22.1,0.2079207920792079,0.7425742574257426,0.8712871287128713,0.6931818181818182,0.45544554455445546,0.5643714371437144,0.8,0.5,0.6200000000000001,0.6666666666666671,0.7,0.68,0.6925,0.8888888888888888,1.0,0.594389688968897,38.0
000037,000037.XSHE,power,801161,深南电A,126.3941,4.0919,60.1557,6.7869,0.12,-38.54,33.32,8.28,0.003,1.350406887330654,False,,0.007911761704066883,33.32,0.13861386138613863,0.039603960396039604,0.2376237623762376,0.07954545454545454,0.6732673267326733,0.15978097809780978,0.8,0.5,0.6200000000000001,0.6666666666666671,0.7,0.68,0.6925,0.8888888888888888,1.0,0.2909468446844685,97.0
000155,000155.XSHE,power,801161,川能动力,52.5732,2.2654,233.7249,3.5380000000000003,0.4,28.52,34.98,19.14,0.0225,6.722719461567416,False,,0.0190210982021258,34.98,0.19801980198019803,0.9207920792079208,0.8118811881188119,0.2159090909090909,0.7029702970297029,0.5495799579957996,0.8,0.5,0.6200000000000001,0.6666666666666671,0.7,0.68,0.6925,0.8888888888888888,1.0,0.5832960796079609,49.0
000507,000507.XSHE,power,801161,珠海港,17.2547,0.951,52.056999999999995,1.2317,1.22,-27.68,26.79,10.65,0.0815,3.2064492256207053,False,,0.057955223794096684,26.79,0.31683168316831684,0.07920792079207921,0.6039603960396039,0.75,0.5445544554455446,0.38382838283828385,0.8,0.5,0.6200000000000001,0.6666666666666671,0.7,0.68,0.6925,0.8888888888888888,1.0,0.4589823982398241,81.0
000531,000531.XSHE,power,801161,穗恒运A,17.9366,1.0869,75.7099,1.7827,3.24,-1.34,22.45,19.91,0.2136,1.5534957440684924,False,,0.055751926229051216,22.45,0.7227722772277227,0.5346534653465347,0.26732673267326734,0.7159090909090909,0.46534653465346537,0.5634413441344135,0.8,0.5,0.6200000000000001,0.6666666666666671,0.7,0.68,0.6925,0.8888888888888888,1.0,0.5936921192119213,41.0
000537,000537.XSHE,power,801161,绿发电力,20.4004,0.9161,183.3076,0.7487,0.94,22.72,43.84,25.2,0.0905,7.965754977228226,False,,0.04901864669320209,43.84,0.297029702970297,0.8712871287128713,0.8514851485148515,0.6136363636363636,0.8217821782178217,0.6382538253825383,0.8,0.5,0.6200000000000001,0.6666666666666671,0.7,0.68,0.6925,0.8888888888888888,1.0,0.6498014801480149,19.0
000539,000539.XSHE,power,801161,粤电力A,321.738,1.1135,260.9391,1.341,2.38,-11.33,15.64,5.31,0.105,3.1434985298218923,False,,0.0031081190285263166,15.64,0.594059405940594,0.25742574257425743,0.5841584158415841,0.022727272727272728,0.2376237623762376,0.4023702370237024,0.8,0.5,0.6200000000000001,0.6666666666666671,0.7,0.68,0.6925,0.8888888888888888,1.0,0.47288878887888797,79.0
000543,000543.XSHE,power,801161,皖能电力,7.9206,1.1005,189.0564,1.4483,4.95,0.56,17.32,14.34,0.3636,2.6552956690782215,False,,0.12625306163674468,17.32,0.8910891089108911,0.5841584158415841,0.5445544554455446,1.0,0.3069306930693069,0.7155115511551156,0.8,0.5,0.6200000000000001,0.6666666666666671,0.7,0.68,0.6925,0.8888888888888888,1.0,0.7077447744774479,9.0
000591,000591.XSHE,power,801161,太阳能,18.1285,0.7891,192.139,2.9709,1.86,-8.22,56.84,32.01,0.1145,6.07222151885944,False,,0.05516176186667403,56.84,0.4900990099009901,0.33663366336633666,0.7821782178217822,0.7045454545454546,0.9108910891089109,0.5642364236423643,0.8,0.5,0.6200000000000001,0.6666666666666671,0.7,0.68,0.6925,0.8888888888888888,1.0,0.5942884288428844,39.0
000600,000600.XSHE,power,801161,建投能源,9.8466,1.3636,161.2092,2.4021,5.5,6.38,35.47,18.71,0.3793,1.936085438989724,False,,0.10155789815773972,35.47,0.9306930693069307,0.7326732673267327,0.3564356435643564,0.9318181818181818,0.7425742574257426,0.7506450645064507,0.8,0.5,0.6200000000000001,0.6666666666666671,0.7,0.68,0.6925,0.8888888888888888,1.0,0.7340949094909492,4.0
